Report_ID,Date,Location,Work_Area,Report_Type,Narrative,Potential_Exposure,SIF_Precursor,SIF_Risk,Immediate_Action,Potential_Severity,NLP_Label
OIL-SIF-0001,2026-01-08,Duliajan,Maintenance,Unsafe Act,Working at height without effective fall protection; worker was observed near an open edge while handling tools. The condition had potential for serious injury if the task continued.,Fall from height / dropped object,Fall from height,Critical,Permit was suspended pending verification of controls.,Fatality / Serious Injury,High SIF Risk
OIL-SIF-0002,2026-01-11,Bongaigaon,Electrical,Unsafe Condition,Technician entered a restricted area near rotating equipment without completing isolation verification. The supervisor was not immediately present at the work location.,Unexpected equipment movement / caught-in,Line of fire,Critical,Area was barricaded and the task was stopped until corrective measures were completed.,Fatality / Serious Injury,High SIF Risk
OIL-SIF-0003,2026-01-14,Digboi,Drilling,Near Miss,Vehicle reversed in an active work zone without a spotter; personnel were working within the vehicle path. Required exclusion or isolation controls were not effectively maintained.,Vehicle-person interaction,Struck-by / vehicle,Critical,Equipment was isolated and the condition was escalated to the area in-charge.,Fatality / Serious Injury,High SIF Risk
OIL-SIF-0004,2026-01-17,Duliajan,Pipeline,Unsafe Act,Temporary electrical cable had damaged insulation and was routed through a wet area near personnel access. The observation was made during active work and had immediate exposure potential.,Electric shock / arc flash,Electrical energy,High,Personnel were moved to a safe location and the hazard was reported for rectification.,Fatality / Serious Injury,High SIF Risk
OIL-SIF-0005,2026-01-20,Bongaigaon,Process Plant,Unsafe Condition,Pressure-containing line was opened before zero-energy verification was documented. JSA/control verification was found incomplete at the time of observation.,Unexpected release of pressure / hydrocarbons,Stored energy,Critical,Work stopped immediately; supervisor notified and exclusion zone established.,Fatality / Serious Injury,High SIF Risk
OIL-SIF-0006,2026-01-23,Digboi,Workover,Near Miss,Excavation was open near a work route with inadequate barricading and no visible access control. The condition had potential for serious injury if the task continued.,Fall into excavation / collapse exposure,Excavation,High,Permit was suspended pending verification of controls.,Fatality / Serious Injury,High SIF Risk
OIL-SIF-0007,2026-01-26,Duliajan,Warehouse,Unsafe Act,Hot work was observed close to combustible material without adequate fire watch or removal of combustibles. The supervisor was not immediately present at the work location.,Fire / explosion,Hot work,Critical,Area was barricaded and the task was stopped until corrective measures were completed.,Fatality / Serious Injury,High SIF Risk
OIL-SIF-0008,2026-01-29,Bongaigaon,Production,Unsafe Condition,Lifting activity was underway with personnel standing inside the suspended-load exclusion zone. Required exclusion or isolation controls were not effectively maintained.,Dropped load / struck-by,Lifting,Critical,Equipment was isolated and the condition was escalated to the area in-charge.,Fatality / Serious Injury,High SIF Risk
OIL-SIF-0009,2026-02-01,Digboi,Maintenance,Near Miss,"Gas detector alarm was reported during work, but the task continued briefly before the area was cleared. The observation was made during active work and had immediate exposure potential.",Toxic/flammable atmosphere exposure,Hazardous atmosphere,Critical,Personnel were moved to a safe location and the hazard was reported for rectification.,Fatality / Serious Injury,High SIF Risk
OIL-SIF-0010,2026-02-04,Duliajan,Electrical,Unsafe Act,"Hand tool was used from an unstable temporary platform, creating a dropped-object and fall exposure. JSA/control verification was found incomplete at the time of observation.",Fall / dropped object,Dropped object,High,Work stopped immediately; supervisor notified and exclusion zone established.,Fatality / Serious Injury,High SIF Risk
OIL-SIF-0011,2026-02-07,Bongaigaon,Drilling,Unsafe Condition,Working at height without effective fall protection; worker was observed near an open edge while handling tools. The condition had potential for serious injury if the task continued.,Fall from height / dropped object,Fall from height,Critical,Permit was suspended pending verification of controls.,Fatality / Serious Injury,High SIF Risk
OIL-SIF-0012,2026-02-10,Digboi,Pipeline,Near Miss,Technician entered a restricted area near rotating equipment without completing isolation verification. The supervisor was not immediately present at the work location.,Unexpected equipment movement / caught-in,Line of fire,Critical,Area was barricaded and the task was stopped until corrective measures were completed.,Fatality / Serious Injury,High SIF Risk
OIL-SIF-0013,2026-02-13,Duliajan,Process Plant,Unsafe Act,Vehicle reversed in an active work zone without a spotter; personnel were working within the vehicle path. Required exclusion or isolation controls were not effectively maintained.,Vehicle-person interaction,Struck-by / vehicle,Critical,Equipment was isolated and the condition was escalated to the area in-charge.,Fatality / Serious Injury,High SIF Risk
OIL-SIF-0014,2026-02-16,Bongaigaon,Workover,Unsafe Condition,Temporary electrical cable had damaged insulation and was routed through a wet area near personnel access. The observation was made during active work and had immediate exposure potential.,Electric shock / arc flash,Electrical energy,High,Personnel were moved to a safe location and the hazard was reported for rectification.,Fatality / Serious Injury,High SIF Risk
OIL-SIF-0015,2026-02-19,Digboi,Warehouse,Near Miss,Pressure-containing line was opened before zero-energy verification was documented. JSA/control verification was found incomplete at the time of observation.,Unexpected release of pressure / hydrocarbons,Stored energy,Critical,Work stopped immediately; supervisor notified and exclusion zone established.,Fatality / Serious Injury,High SIF Risk
